time,mag,place
2023-03-08T10:24:10.533Z,1.5,"44 km SSE of Denali National Park, Alaska"
2023-03-08T10:20:45.420Z,0.63,"7km SSW of Idyllwild, CA"
2023-03-08T10:19:20.422Z,0.3,"42 km WNW of Beatty, Nevada"
2023-03-08T10:17:16.510Z,0.32,"99 km W of Adak, Alaska"
2023-03-08T10:16:39.115Z,2.5,"139 km E of McCarthy, Alaska"
2023-03-08T10:16:28.300Z,-0.71,"84 km NW of Karluk, Alaska"
2023-03-08T10:14:56.800Z,1.34,"7 km ESE of Soda Springs, Idaho"
2023-03-08T10:12:51.080Z,1.54,"106 km W of Adak, Alaska"
2023-03-08T10:08:54.560Z,1.84,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T10:07:32.520Z,1.19,"105 km W of Adak, Alaska"
2023-03-08T10:04:38.880Z,0.2,"8km NW of The Geysers, CA"
2023-03-08T10:04:26.541Z,4.3,"Vancouver Island, Canada region"
2023-03-08T10:01:39.090Z,0.6,"107 km W of Adak, Alaska"
2023-03-08T09:59:21.180Z,0.87,"105 km W of Adak, Alaska"
2023-03-08T09:54:05.540Z,1.23,"100 km W of Adak, Alaska"
2023-03-08T09:49:19.274Z,1.4,"72 km ESE of Denali Park, Alaska"
2023-03-08T09:43:37.240Z,2.19,"9 km ENE of Pāhala, Hawaii"
2023-03-08T09:42:56.780Z,1.09,"4 km SSE of Quilcene, Washington"
2023-03-08T09:33:06.070Z,3.11,"9 km WSW of Richland, Oregon"
2023-03-08T09:32:51.450Z,-0.55,"85 km NW of Karluk, Alaska"
2023-03-08T09:24:17.780Z,1.1,"90 km W of Adak, Alaska"
2023-03-08T09:19:29.264Z,1.2,"60 km ENE of Pedro Bay, Alaska"
2023-03-08T09:17:43.560Z,1.78,"104 km W of Adak, Alaska"
2023-03-08T09:14:33.440Z,1.4,"107 km W of Adak, Alaska"
2023-03-08T09:13:47.540Z,0.5,"86 km NW of Karluk, Alaska"
2023-03-08T09:12:58.430Z,1.07,"102 km W of Adak, Alaska"
2023-03-08T09:04:08.350Z,1.76,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T09:03:42.800Z,1.1,"7km W of Cobb, CA"
2023-03-08T09:03:30.640Z,-0.69,"85 km NW of Karluk, Alaska"
2023-03-08T09:00:21.865Z,4.2,"Off the coast of Valparaiso, Chile"
2023-03-08T08:59:58.294Z,0.4,"6 km ENE of Indian Hills, Nevada"
2023-03-08T08:52:23.220Z,1.2,"51 km NW of Karluk, Alaska"
2023-03-08T08:50:47.960Z,1.41,"104 km W of Adak, Alaska"
2023-03-08T08:49:26.440Z,1.03,"4km NW of The Geysers, CA"
2023-03-08T08:49:18.160Z,0.29,"20km NW of Parkfield, CA"
2023-03-08T08:44:33.890Z,1.49,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T08:40:59.270Z,-0.59,"85 km NNW of Karluk, Alaska"
2023-03-08T08:39:08.170Z,1.05,"107 km W of Adak, Alaska"
2023-03-08T08:35:47.198Z,1.5,"34 km E of Denali National Park, Alaska"
2023-03-08T08:35:08.120Z,1.67,"104 km W of Adak, Alaska"
2023-03-08T08:34:51.823Z,5.3,south of the Fiji Islands
2023-03-08T08:32:17.356Z,4.3,"Izu Islands, Japan region"
2023-03-08T08:30:38.530Z,1.29,"109 km W of Adak, Alaska"
2023-03-08T08:26:15.780Z,1.58,"104 km W of Adak, Alaska"
2023-03-08T08:23:41.920Z,1.21,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T08:21:02.770Z,1.53,"105 km W of Adak, Alaska"
2023-03-08T08:18:41.720Z,-0.56,"84 km NW of Karluk, Alaska"
2023-03-08T08:01:02.290Z,1.92,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T07:58:20.631Z,1.2,"4 km S of Floriston, California"
2023-03-08T07:57:45.200Z,1.6,Central Alaska
2023-03-08T07:56:57.180Z,0.42,"105 km W of Adak, Alaska"
2023-03-08T07:53:37.890Z,0.9,"105 km W of Adak, Alaska"
2023-03-08T07:48:48.932Z,2.2,western Texas
2023-03-08T07:46:02.480Z,2.52,"105 km W of Adak, Alaska"
2023-03-08T07:46:02.280Z,2.65,"106 km W of Adak, Alaska"
2023-03-08T07:42:44.400Z,0.71,"104 km W of Adak, Alaska"
2023-03-08T07:37:56.660Z,1.97,"104 km W of Adak, Alaska"
2023-03-08T07:34:58.860Z,0.6,"10km SSW of Idyllwild, CA"
2023-03-08T07:33:09.652Z,5.8,"61 km WSW of Panguna, Papua New Guinea"
2023-03-08T07:32:55.514Z,4.5,"124 km E of McCarthy, Alaska"
2023-03-08T07:20:26.870Z,1.22,"13km SSW of Searles Valley, CA"
2023-03-08T07:15:09.340Z,1.03,"104 km W of Adak, Alaska"
2023-03-08T07:14:24.620Z,-0.34,"84 km NW of Karluk, Alaska"
2023-03-08T07:08:51.100Z,1.39,"104 km W of Adak, Alaska"
2023-03-08T07:05:56.700Z,1.43,"5 km NNE of Kremlin, Oklahoma"
2023-03-08T06:59:58.799Z,2.1,"55 km S of Whites City, New Mexico"
2023-03-08T06:57:26.710Z,0.95,"104 km W of Adak, Alaska"
2023-03-08T06:56:52.580Z,1.22,"104 km W of Adak, Alaska"
2023-03-08T06:55:06.730Z,0.71,"9km ENE of Morgan Hill, CA"
2023-03-08T06:55:05.335Z,1.3,"43 km WSW of Tatitlek, Alaska"
2023-03-08T06:53:25.560Z,2.33,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T06:51:35.410Z,0.66,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T06:51:27.590Z,0.44,"66 km NE of Nikolski, Alaska"
2023-03-08T06:50:30.190Z,1.09,"103 km W of Adak, Alaska"
2023-03-08T06:46:48.390Z,0.81,"106 km W of Adak, Alaska"
2023-03-08T06:46:32.700Z,1.06,"105 km W of Adak, Alaska"
2023-03-08T06:45:15.580Z,1.90999997,"16 km N of Pāhala, Hawaii"
2023-03-08T06:43:42.490Z,1.41,"104 km W of Adak, Alaska"
2023-03-08T06:43:06.290Z,0.85,"105 km W of Adak, Alaska"
2023-03-08T06:39:48.080Z,2.28,"106 km W of Adak, Alaska"
2023-03-08T06:36:51.600Z,1.31,"103 km W of Adak, Alaska"
2023-03-08T06:36:30.300Z,0.79,"105 km W of Adak, Alaska"
2023-03-08T06:33:34.590Z,1.36,"104 km W of Adak, Alaska"
2023-03-08T06:33:03.950Z,1.15,"104 km W of Adak, Alaska"
2023-03-08T06:31:34.170Z,1.69,"104 km W of Adak, Alaska"
2023-03-08T06:29:31.640Z,1.25,"100 km W of Adak, Alaska"
2023-03-08T06:29:22.690Z,0.93,"103 km W of Adak, Alaska"
2023-03-08T06:29:16.269Z,1.5,"43 km N of Petersville, Alaska"
2023-03-08T06:27:12.240Z,2.08,"105 km W of Adak, Alaska"
2023-03-08T06:24:20.351Z,3.6,"56 km S of Whites City, New Mexico"
2023-03-08T06:20:04.592Z,2.2,"69 km ENE of Pedro Bay, Alaska"
2023-03-08T06:16:09.673Z,1.7,"14 km NW of Skwentna, Alaska"
2023-03-08T06:15:32.790Z,2.28,"106 km W of Adak, Alaska"
2023-03-08T06:15:25.440Z,2.22,"108 km W of Adak, Alaska"
2023-03-08T06:11:31.570Z,1.83,"104 km W of Adak, Alaska"
2023-03-08T06:07:39.000Z,2.03,"106 km W of Adak, Alaska"
2023-03-08T06:07:24.400Z,-0.25,"66 km ENE of Pedro Bay, Alaska"
2023-03-08T06:07:03.600Z,2.45,"105 km W of Adak, Alaska"
2023-03-08T06:05:14.250Z,1.44,"103 km W of Adak, Alaska"
2023-03-08T06:03:36.198Z,5.6,"111 km ESE of Severo-Kuril’sk, Russia"
2023-03-08T06:03:25.930Z,1.6,"107 km W of Adak, Alaska"
2023-03-08T06:03:02.190Z,1.89,"103 km W of Adak, Alaska"
2023-03-08T06:01:39.450Z,1.6,"104 km W of Adak, Alaska"
2023-03-08T05:59:29.220Z,2.55,"106 km W of Adak, Alaska"
2023-03-08T05:56:35.450Z,2.42,"106 km W of Adak, Alaska"
2023-03-08T05:54:31.650Z,1.71,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T05:54:25.540Z,1.38,"103 km W of Adak, Alaska"
2023-03-08T05:54:05.070Z,1.4,"Andreanof Islands, Aleutian Islands, Alaska"
2023-03-08T05:53:29.050Z,1.46,"103 km W of Adak, Alaska"
